scode	count	name-address	lat	long
27101	1776	काठमाण्डौ मोडेल मा.वि., वागवजार	27.7067463495	85.3188922809
27007	1700	ट्रिनीटी इन्टरनेशनल मा.वि., डिल्लीबजार	27.7038931952	85.3251961353
27045	1278	साउथ वेस्टर्न स्टेट मा.वि., बसुन्धारा	27.7396600173	85.3254532539
27127	1210	क्यापिटल मा.वि., कोटेश्वर	27.673541693	85.3449013829
27011	1166	विश्व निकेतन मा.वि., त्रिपुरेश्वर	27.692876075	85.3121381404
27207	1143	हेराल्ड मा.वि, बसुन्धरा, काठमाडौं	27.7430087863	85.3291130386
27050	1139	जेभियर्स इन्टरनेशनल मा.वि., कालोपुल	27.7169584063	85.349928419
27003	1000	नेशनल स्कूल अफ साइन्सेस मा.वि., लैनचौर	27.7182081667	85.3140858448
27133	985	ग्लोबल कलेज अफ मेनेजमेन्ट, वासुकीमार्ग, बानेश्वर	27.7002723554	85.340379903
27029	982	गोल्डेनगेट इन्टरनेशनल मा.वि., वत्तीसपुतली	27.7037779185	85.340381525
27051	959	युनिग्लोब मा.वि, कमलादी	27.7079287488	85.3206852232
27172	958	लिभरपुल आ.मा.वि., नयाँबानेश्वर	27.6832523099	85.3362755709
27057	950	नोवेल एकाडेमी मा.वि., नयाँबानेश्वर	27.6913592848	85.3318487462
27156	925	रिलायन्स इन्टरनेशनल एकेडेमी,कपन	27.7301931324	85.3543502402
27435	920	प्रोग्रेसिभ इङ्गलिस मा वि, महांकाल	27.7226308489	85.3546439918
27063	809	हिमालयन ह्वाइट हाउस इन्टरनेशनल मा.वि., नयाँबानेश्वर	27.6842548831	85.3474283227
27077	804	टेक्सास इ मा.वि, मित्रपार्क,	27.7127080965	85.3411835286
27113	797	काठमाडौ वर्नहार्ट मा.वि., बल्खु	27.7021743074	85.2833025109
27040	789	ग्रामीण आदर्श बहुमुखी क्याम्पस, नेपालटार	27.7422779423	85.3030774039
27017	736	विनायक सुधा निकेतन मा.वि., मीनभवन	27.6858822433	85.343107523
27119	657	प्रिमियर मा.वि., नयाँबानेश्वर	27.6871652832	85.3369893846
27319	642	ज्ञानोदय मा.वि., पुरानो कालिमाटी, बाफल	27.6993151813	85.2844782956
27439	615	ग्लोबल स्कुल, मध्यबानेश्वर	27.6998847955	85.3395718268
27478	593	मनासलु व्लर्ड स्कुल, चुच्चेपाटी, काठमाडौं	27.7189231503	85.3504369594
27022	559	पशुपति बहुमुखी क्याम्पस, चावहिल	27.7136039394	85.3447141827
27042	550	नेपाल काण्ठमण्डप मा.वि., कलंकी	27.6982576253	85.2807963512
27152	547	काठमाडौं स्कुल अफ सेन्ट्रल स्टेट, सोल्टिमोड,कालिमाटी	27.6969156057	85.2952067175
27036	518	सेन्ट लरेन्स मा.वि, चावहिल	27.7148226374	85.3473946251
27246	509	सेन्ट जेभियर्स कलेज माइतीघर	27.6934917727	85.3211183674
27519	508	नामी इन्टरनेश्नल मा.वि., गोकर्णेश्वर, जोरपाटी	27.7205271118	85.3843563247
27104	503	द टाइम्स मा.वि., डिल्लीबजार	27.7089050979	85.3264066917
27056	493	एनसीसीएस मा.वि., पकनाजोल	27.7149104332	85.3090078962
27117	480	नेपाल मेघा क्याम्पस, बबरमहल	27.6917366759	85.3279607809
27200	476	जनकल्याण मा.वि, बौद्ध,	27.7262670076	85.3580879028
27163	460	मनकामना मा.वि.,जोरपाटी	27.7220316175	85.3870971558
27142	457	कुमारी आवासीय मा.वि., बौद्ध	27.7225045031	85.3587102232
27205	440	चामुण्डा मा.वि. जोरपाटी	27.7226396598	85.3797976404
27031	429	नेपाल राष्ट्रिय मा.वि., मनमैजु	27.7429861159	85.306885241
27265	393	मोरगन इन्टरनेशनल स्कूल, बसुन्धरा	27.7567999395	85.3346555692
27138	386	शहीद स्मारक कलेज, नयाँवजार, कीर्तिपुर	27.678026744	85.2812728117
27230	383	गान्धी आदर्श मा.वि. मनहराग्राम	27.6967497523	85.3698455316
27107	382	गीतामाता मा.वि., विजेश्वरी	27.7103704415	85.2966023232
27298	379	ऋत एकेडेमी मा.वि.,बसन्तनगर	27.7376304916	85.3268417116
27260	371	स्वाती सदन इ.बो.मा.वि., बालाजु	27.7366977776	85.3042339349
27118	363	ट्रिटन इन्टरनेशनल मा.वि.,सुविधानगर, तीनकुने	27.6828280263	85.3440388862
27058	357	एभरेष्ट मा.वि., सोल्टीमोड	27.7018948588	85.2914367827
27408	336	समृद्घि स्कुल, बालाजु	27.7243394388	85.2996766386
27086	328	मनमोहन मेमोरियल मा.वि., नयाँबजार	27.7186044477	85.3090255521
27124	325	क्यान्भास मा.वि., बसुन्धरा	27.7264134269	85.3163034804
27179	324	कोटेश्वर बहुमुखी क्याम्पस, कोटेश्वर	27.6760693002	85.3548051404
27204	324	लुम्बिनी एकेडेमी मा.वि. चुच्चेपाटी	27.7199301215	85.3498604232
27106	318	रेडन मा.वि., सामाखुसी	27.7280756123	85.3141633404
27076	310	नासा नेशनल मा.वि., तिनकुने, काठमाडौं	27.6880283818	85.3504648962
27299	306	द इन्साइट भिजन मा.वि, धुम्बाराही	27.7262254367	85.3432209962
27064	288	हिमालय इङ्गलिस बोर्डिङ मा.वि., कोटेश्वर	27.6801460511	85.3469211975
27219	279	तक्षशिला एकेडेमी, सामाखुसी	27.7356496106	85.3219993809
27027	275	पेन्टागन इन्टरनेशनल मा.वि., तीनकुने	27.6870835699	85.3485054182
27075	274	सिग्मा मा.वि., सोह्रखुट्टे	27.7185782667	85.3080246907
27188	273	रत्न राज्य मा.वि., बानेश्वर	27.6958541703	85.3374281962
27201	271	गणेश मा.वि. गणेशचोक	27.7609986912	85.351999752
27486	270	त्रिकोण पब्लिक स्कुल,गोकर्णेश्वर, नारायणटार, काठमाडौं	27.7205791961	85.3792070799
27095	269	एडमार्क एकाडेमी मा.वि., कलंकी	27.6948178445	85.2823760577
27049	262	एम्बिसन एकेडेमी मा.वि., नयाँबानेश्वर	27.6951066148	85.33638301
27140	260	ओरियण्ट स्कूल अफ साइन्स एण्ड मेनेजमेन्ट मा.वि.,नारायणगोपालचोक	27.7409350689	85.3305027631
27174	260	पद्मोदय मा.वि., रामशाहपथ	27.7016414601	85.3216085809
27164	259	शिवपुरी मा.वि., महाराजगञ्ज	27.7308777903	85.3300599484
27020	256	काठमाडौं ईन्ष्टिच्यूट अफ साइन्स एण्ड टेक्नोलोजी मा.वि., कमलपोखरी	27.7118041226	85.3252020714
27072	256	वानेश्वर क्याम्पस, बानेश्वर	27.6890776205	85.3476766174
27151	242	विष्णुमती आ.मा.वि., गोंगबुँ	27.736558765	85.3084589836
27268	241	समता शि. निकेतन जोरपाटी	27.7195914434	85.3605419041
27060	240	लिंकन मा.वि., गोंगबुँ	27.735087178	85.3177988745
27125	239	लेबोरेटोरी आ. मा.वि., किर्तिपुर	27.6773732534	85.2946577218
27257	238	ग्लासियर इन्टरनेशनल मा.वि., शान्तिनगर	27.6877320575	85.3429448113
27099	237	एस मा.वि., बानेश्वर	27.6952851309	85.3501741066
27479	234	लिम्पिया नेशनल स्कुल, गोकर्णेश्वर, काठमाडौं	27.7169751339	85.3722650521
27190	231	वुढानिलकण्ठ मा.वि., नारायणस्थान	27.782309326	85.3579441092
27425	231	कोटेश्वर सरस्वति मा.वि., कोटेश्वर	27.6805432932	85.3412325539
27187	225	ग्रामर मा.वि., कोटेश्वर	27.6788321898	85.3417445417
27144	224	नेपालय एजुकेशन फाउण्डेसन मा.वि, कंलकी	27.6953173978	85.2857957482
27366	223	भेनस पब्लिक स्कुल जोरपाटी	27.729757496	85.3789260404
27412	222	अभिषेक ज्ञान मन्दिर, सिनामंगल	27.6977929656	85.3537996558
27245	220	बाल उद्वार मा.वि., कपन	27.7311515128	85.3559086624
27115	219	नवोदित विद्याकुञ्ज मा.वि., म्हैपी	27.7254032051	85.3127028116
27013	212	वृहस्पती विद्या सदन मा.वि., कमलपोखरी	27.7146325985	85.3317342781
27137	209	मदन भण्डारी स्मृति मा.वि., नयाँबानेश्वर	27.6988990962	85.3297100159
27148	206	मङ्गल मा.वि., कीर्तिपुर	27.6781761004	85.2796471134
27291	202	साइपल एकेडेमी मा.वि, सुकेधारा	27.7237886742	85.3389234669
27282	200	काठमाडौं युनिफाइड मा.वि, सरस्वतीनगर	27.7265964288	85.350594597
27074	196	पासाङ्ग ल्हामु सेर्पा मेमोरियल मा.वि., गोङ्गबु	27.7348804812	85.3155153447
27061	193	कान्जिरोवा मा.वि.,कोटेश्वर,काठमाडौं	27.6738190176	85.3434160386
27192	191	पदम कन्या विद्याश्रम मा..वि., डिल्लीवजार	27.7054447505	85.3262248827
27243	191	शान्ति विद्या गृह मा.वि., लैनचौर	27.7181356134	85.3136743692
27236	189	ब्रुकलिन एकेडेमी मा.वि. सुकेधारा	27.7264520979	85.347091636
27067	188	लर्निङ रेलम इन्टरनेशनल एल.आ.आई मा.वि., कलंकीस्थान	27.6929353739	85.2745699827
27025	187	वागमती बोर्डिङ मा.वि., सुकेधारा	27.7279012164	85.34645182
27349	187	कस्मिक ईन्टरनेश्नल एकेडेमी	27.6751317145	85.3453532809
27251	183	कामना इन्टरनेशनल मा.वि., ढुङ्गेधारा	27.722818616	85.2881795097
27039	180	कन्या मन्दिर मा.वि., न्ह्योखा	27.7106748142	85.3083601631
27043	177	जनमैत्री बहुमुखी क्याम्पस, कुलेश्वर	27.6919839749	85.2923304827
27305	175	ग्रिनफिल्ड नेशनल मा.वि,सितापाइला बाफल	27.704924728	85.2835018404
27090	170	न्यू मिलेनियम एकाडेमी मा.वि., सुकेधारा	27.7290385369	85.3455407289
27433	170	महर्षी मा.वि, सामाखुसी	27.7304306005	85.3123556174
27238	169	पुष्पलाल मेमोरियल मा.वि. कपन	27.7181102459	85.3454140981
27080	166	क्यापिटल हिल एकेडेमी मा.वि., टेकु	27.6964807181	85.3031530009
27195	166	प्रज्वल जुविल्याण्ट) मा.वि. कालिमाटी	27.7029632564	85.3032842607
27147	165	तिलिङ्गटार मा.वि, धापासी	27.7464988036	85.3305101367
27034	164	जेभियर्स एकाडेमी मा.वि., लाजिम्पाट	27.7209708684	85.3217150599
27253	159	एभरेष्ट फ्लोरिडा मा.वि, शान्तीनगर,काठमाडौं	27.6943986722	85.3362495674
27322	158	रिड मोडल मा.वि., इचङ्गु	27.7222096879	85.2842836212
27023	157	पिपल्स क्याम्पस, पकनाजोल	27.714514948	85.3086689692
27427	154	संस्कृत मा वि, रानीपोखरी	27.7081160485	85.3142291134
27226	152	बृजवाटर इन्टरनेशनल कलेज, सिनामंगल, काठमाडौं	27.6965874053	85.352207231
27321	149	वीट्स एकेडेमी, भुवालडाँडा	27.7266237179	85.3720796269
27391	147	एकता जेम्स इ. एकेडेमी	27.717161538	85.3708577508
27087	145	व्रिटिस गोर्खा एकाडेमी मा.वि., महाराजगञ्ज	27.7462567256	85.3402661116
27044	143	कलेज अफ विजनेश मेनेजमेन्ट मा.वि., गुर्जुमार्ग, डिल्लीवजार	27.706023652	85.3267227367
27065	141	अरुणिमा मा.वि., बौद्ध	27.7175713392	85.3590764064
27445	139	बौद्ध इन्टरनरेशनल मा.वि. गोकर्णेश्वर	27.7358044474	85.3815148317
27084	137	सिद्धार्थ एकाडेमी मा.वि., वाफल	27.7048747574	85.3179867521
27244	137	मनोहर मा.वि. गोङ्गबु, महादेवटार	27.7376457037	85.3191990367
27297	137	भगवती मा.वि,पुखुलाड्छी,इपाटोल, साँखु	27.729986854	85.4606547619
27135	134	रिचमण्ड एकेडेमी मा.वि., कलंकी	27.6914301265	85.2837653943
27344	134	जोसेफ इङ्गलिस स्कुल	27.7271484259	85.3582232602
27108	132	सान इन्टरनेशनल मा.वि., गैरीधारा	27.7206286611	85.3279397542
27197	130	जनसेवा मा.वि. कीर्तिपुर	27.6681543019	85.2750561492
27008	129	सहयोगी मा.वि., गोकर्ण	27.7399016345	85.3874417985
27150	128	लोयला मा.वि., पुरानोबानेश्वर	27.6913104762	85.3509680404
27271	126	एञ्जल हार्ट मा.वि., तारकेश्वर, मनमैजु	27.743466479	85.3126463262
27083	125	कोलम्वस मा.वि., शंखमूलमार्ग, नयाँबानेश्वर	27.686566519	85.3303860604
27079	124	आशीर्वाद मा.वि., सामाखुसी	27.7260172919	85.3135375846
27136	118	एभरेष्ट कलेज, थापाथली	27.6927185053	85.3176549821
27503	118	पाठशाला नेपाल,नयाँ वानेश्वर, काठमाडौं	27.6947419679	85.3333060071
27097	116	ब्रिलियन्ट एजुकेशनल मा.वि., चावहिल	27.7143419283	85.3413761324
27441	115	ब्राइट फ्युचर सेकेन्डरी स्कूल, नैकाप, काठमाडौं	27.6876360638	85.2665979729
27180	113	आदिम मा. वि., चावहिल	27.7188908379	85.3517883315
27241	113	टंगाल मा.वि, भीमभवन, टंगाल	27.7163847218	85.3319261116
27339	113	पशुपति मित्र मा.वि ,चावहिल	27.7166222279	85.3460180058
27092	111	परोपकार आदर्श मा.वि., भिमसेनस्थान	27.7017521973	85.3034417067
27307	111	ग्रामशिक्षा मन्दिर मा.वि,कपन	27.7420911615	85.3637216055
27146	110	सरस्वती मा.वि., टोखा	27.7666332254	85.3314147674
27168	110	गीताञ्जली ई. मा.वि., सोह्रखुट्टे	27.7223149098	85.3028932421
27242	110	मानसिंह धर्म मा.वि. मनमैजु,	27.7455403884	85.3114530327
27209	109	अक्सफोर्ड वोर्डिङ्ग मा.वि. नयाँवजार	27.7202853309	85.3015112097
27038	108	भानुभक्त मेमोरियल मा.वि., पानीपोखरी	27.7268257407	85.3247573464
27185	108	क्याम्ब्रिज इन्टरनेशनल वोडिङ्ग मा.वि., कलंकी	27.6945061089	85.2806589712
27235	108	रोयल्टी.मा.वि., गोकर्णेश्वर	27.7204013184	85.3629069931
27482	108	एटलान्टिक बोर्डिङ स्कुल, गोकर्णेश्वर,नारायणटार, काठमाडौं	27.7196094197	85.3818590981
27159	107	विजय स्मारक मा.वि., डिल्लीवजार	27.7051735546	85.3270023404
27247	107	महेन्द्र बौद्ध मा.वि., बौद्ध फुलवारी	27.7234938091	85.3635965404
27432	107	प्रभात मा वि, चन्द्रागिरी, महादेवस्थान, थानकोट	27.6914950294	85.226317757
27302	106	विजेश्वरी ज्ञानमन्दिर सैनिक महाविद्यालय, विजेश्वरी	27.7123813726	85.2974799267
27015	105	अरुणोदय मा वि फर्पिङ	27.622640294	85.2655439937
27335	105	आकाशदीप इङ्गलिस सेकेण्डरी स्कूल, गोकर्णेश्वर	27.7225709626	85.3858021809
27280	104	निलबाराही मा.वि,काठमाडौं, टंकेश्वर	27.700592861	85.3018698558
27392	104	रिडर्स इं मोडेल स्कुल गोकर्णेश्वर	27.7223712034	85.2841656251
27169	103	गुहेश्वरी मा.वि., सिनामंगल	27.6961259782	85.3516092492
27262	103	गणेश मान सिंह बहुमुखी क्याम्पस, स्वयम्भू	27.6928285903	85.2846303058
27340	103	जनप्रभात मा.वि ,कालिमाटी	27.6986886573	85.2940532692
27026	101	काठमाडौं शिक्षा क्याम्पस, तीनथाना	27.6862072416	85.2589280159
27284	100	फुटुङ्ग मा.वि,जयन्तीपुर	27.7640308375	85.3120967616
27052	99	द न्यू समिट मा.वि., मैतीदेवी	27.7045578544	85.3334670809
27215	99	पृथ्वी नारायण मा.वि., गोलढुङ्गा	27.7595861811	85.2895528214
27283	98	तेज विनायक मा.वि, गोठाटार	27.7140494898	85.3802704768
27010	97	चिरन–मिलन विश्वशान्ति क्याम्पस, बाँसबारी	27.7433620495	85.3459921153
27279	95	महेन्द्र राष्ट्रिय मा.वि,बालुवाटार	27.7251442057	85.3311896539
27458	95	अरुणोदय माध्यमिक विद्यालय गोकर्णेश्वर, आरुबारी, काठमाडौं	27.7311741138	85.3754286611
27130	91	मंगलोदय बहुमुखी क्याम्पस, थानकोट	27.6937597481	85.2196856103
27214	91	एभर ग्रीन इङ्गलीश मा.वि., साँखु	27.7266589025	85.4596341385
27278	91	बाँसबारी मा.वि, महाराजगञ्ज	27.7413392737	85.3449341851
27018	87	ह्वाइटफिल्ड मा.वि., क्षेत्रपाटी	27.7159469902	85.3029008738
27128	87	सिफल मा.वि., सिफल	27.7121615346	85.3410772827
27134	87	प्राइम इन्टरनेसनल मा.वि., खुसिवु, नयाँवजार	27.7211316321	85.3030702692
27393	86	स्किम्स पब्लिक स्कुल, महाराजगञ्ज	27.7411676765	85.3382349097
27374	85	रिपुमर्दिनी सैनिक सेकेण्डरी स्कुल, बाँसबारी	27.7469874132	85.3434284386
27085	83	एभरेष्ट सेकेण्डरी बोर्डिङ्ग विद्यालय, गल्कोपाखा, ठमेल	27.7202156341	85.312957752
27229	83	नेपाल राष्ट्रिय निर्माण मा.वि. मूलपानी	27.715798921	85.4008347981
27272	83	राइजिङ्ग स्टार मा.वि, वाफल	27.6989554604	85.2850565251
27317	79	नेपाल एपीएफ स्कुल, कीर्तिपुर	27.6610965474	85.2568030116
27352	78	कौशल इङ्गलिस वोर्डिङ स्कुल तारकेश्वर	27.7567268851	85.3033336827
27105	77	फ्लोरोसेन्ट मा.वि., गोंगवु	27.7456501722	85.3180989232
27033	75	भाग्योदय मा.वि., साखु	27.7276543942	85.4621226674
27183	74	कौस्तुभ एकेडेमी मा.वि.पेप्सीकोला, काठमाडौं	27.688893459	85.3588771809
27413	74	शिक्षान्तर मा.वि., सिनामंगल	27.6980809038	85.353948463
27155	73	फर्पिङ मावि फर्पिङ	27.6101103892	85.2617855539
27362	73	कुलेश्वर आवाश मा.वि कुलेश्वर	27.6909039223	85.2928593007
27518	73	सुप्रिम मा.वि, रानीबन	27.7348691461	85.3209885471
27276	71	सृजना आर्ट मा.वि, लाजिम्पाट	27.7184137127	85.3213906116
27324	71	हार्टल्याण्ड एकेडेमी, बाफल	27.7021080612	85.2858060864
27006	70	होली भिजन मा.वि., ताहाचल	27.7019961486	85.2941836097
27186	70	कालीदेवी मा.वि., काभ्रेस्थली	27.789311678	85.3116698673
27182	69	सान्त्वना मेमोरियल एकेडेमी मा.वि., शान्तिनगर	27.6852605885	85.3400803809
27184	69	प्रेसीयस नेशनल एकेडेमी मा.वि., बालाजु	27.7240104165	85.3084710981
27311	69	सीतापाइला मा.वि,सीतापाइला	27.7097384831	85.2807726386
27028	68	सिद्धार्थ बनस्थली साइन्स क्याम्पस, बालाजु	27.725323186	85.2979851763
27066	68	सीताराम मा.वि., रामकोट	27.7185054478	85.2571198386
27216	68	शितला मा.वि. बालाजु हाइट	27.7370595927	85.2949225827
27325	68	विद्या संस्कार मा.वि., नयाँबानेश्वर, काठमाडौं	27.6948637507	85.3355953497
27024	67	युनिभर्सल मा.वि., मैतिदेवी	27.7045065705	85.3322647249
